,Alcaldia,Colonia,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,Cocina_equip,Gimnasio,Amueblado,Alberca,Terraza,Elevador,m2_construido,Baños,Recamaras,Lugares_estac,Precio_m2,Cluster Labels,Conglomerados,NivelSocioEconomico
39,Gustavo A. Madero,La Escalera,1.399837678,4.985392208,40.21470855,18.20506477,25.42147819,2.923867139,0.295210496,0.048856571,9.532578887,43.85910774,1,0,0,0,0,1,70,2,3,1,864,2,MedioBajo,Medio
40,Alvaro Obregon,Lomas de los cedros,1.339167466,5.683629831,42.85247393,17.83120804,23.73768817,3.189615113,0.282936656,0.026174133,6.976225541,36.60403866,1,1,0,1,1,1,269,3.5,3,3,14666.293,3,AltoBajo,Alto
41,Iztapalapa,El Manto,1.857685118,5.622804973,47.82131159,21.69379967,32.20292505,4.541025503,0.705162313,0.167437985,9.555907492,50.08134928,1,0,0,0,0,0,63,1,2,1,408,2,MedioBajo,Medio
42,Alvaro Obregon,Paseo de las lomas,1.339167466,5.683629831,42.85247393,17.83120804,23.73768817,3.189615113,0.282936656,0.026174133,6.976225541,36.60403866,1,1,0,1,1,1,126,2,3,3,6300,1,MedioAlto,Medio
43,Gustavo A. Madero,DM Nacional,1.399837678,4.985392208,40.21470855,18.20506477,25.42147819,2.923867139,0.295210496,0.048856571,9.532578887,43.85910774,1,0,0,0,0,1,80,1,2,1,550,2,MedioBajo,Medio
44,Gustavo A. Madero,Santa Rosa,1.399837678,4.985392208,40.21470855,18.20506477,25.42147819,2.923867139,0.295210496,0.048856571,9.532578887,43.85910774,1,0,0,0,0,1,47,1,2,1,836,2,MedioBajo,Medio
45,Gustavo A. Madero,Granjas Modernas,1.399837678,4.985392208,40.21470855,18.20506477,25.42147819,2.923867139,0.295210496,0.048856571,9.532578887,43.85910774,1,0,0,0,1,1,76,2,3,1,1736,2,MedioBajo,Medio
46,Tlalpan,Aralia,1.394145868,4.602689024,40.26138524,16.53082059,27.88269774,3.714119071,3.909596219,0.07706095,6.224293847,36.76328842,1,1,0,0,1,0,72,2,2,1,2365,2,MedioBajo,Medio
47,Miguel Hidalgo,Lomas de Chapultepec,0.611027409,5.569241584,35.5429182,10.4994843,18.45722734,1.058462729,0.068490591,0.026193904,4.49714015,20.12386776,1,1,0,0,1,1,287,3,3,3,14900,3,AltoBajo,Alto
48,Venustiano Carranza,Morelos,1.024372742,6.37400969,43.62497337,16.35122504,28.24529055,2.280092264,0.055234173,0.03580462,8.154876925,39.08365943,1,0,0,0,0,0,55,1,2,0,849,2,MedioBajo,Medio
49,Xochimilco,Tepepan,2.300547234,4.569400517,46.6843621,21.301165,32.13841053,6.805506663,10.2097709,0.172422716,8.252036123,50.05516279,1,0,0,0,1,1,90,2,2,1,3266.708,1,MedioAlto,Medio
50,Iztapalapa,José María Morelos,1.857685118,5.622804973,47.82131159,21.69379967,32.20292505,4.541025503,0.705162313,0.167437985,9.555907492,50.08134928,1,0,0,0,0,0,51,1,2,1,530,2,MedioBajo,Medio
51,Alvaro Obregon,Santa Fe,1.339167466,5.683629831,42.85247393,17.83120804,23.73768817,3.189615113,0.282936656,0.026174133,6.976225541,36.60403866,1,1,0,1,1,1,336,3,3,3,15000,3,AltoBajo,Alto
52,Gustavo A. Madero,La Laguna Ticomán,1.399837678,4.985392208,40.21470855,18.20506477,25.42147819,2.923867139,0.295210496,0.048856571,9.532578887,43.85910774,1,0,0,0,1,1,54,1,2,1,915,2,MedioBajo,Medio
53,Coyoacan,Romero de Terreros,0.771833742,4.983508537,32.91477099,10.97406485,24.5511088,1.695343039,0.048384471,0.030823144,5.469806583,25.71402305,1,0,0,0,0,1,90,2,3,2,3300,1,MedioAlto,Medio
54,Alvaro Obregon,Santa Fe,1.339167466,5.683629831,42.85247393,17.83120804,23.73768817,3.189615113,0.282936656,0.026174133,6.976225541,36.60403866,1,1,0,1,1,1,144,2,3,2,8524,1,MedioAlto,Medio
55,Tlahuac,El Rosario ,1.536913337,4.49549339,46.56212056,20.04845108,26.77807249,5.035623674,0.957674682,0.096288565,9.610346519,52.74994473,1,0,0,0,0,0,85,5,4,5,2800,1,MedioAlto,Medio
56,Miguel Hidalgo,Polanco,0.611027409,5.569241584,35.5429182,10.4994843,18.45722734,1.058462729,0.068490591,0.026193904,4.49714015,20.12386776,1,1,0,0,1,1,158,2,3,2,10100,3,AltoBajo,Alto
57,Coyoacan,Educación,0.771833742,4.983508537,32.91477099,10.97406485,24.5511088,1.695343039,0.048384471,0.030823144,5.469806583,25.71402305,1,0,0,0,1,0,132,2,2,2,4990,1,MedioAlto,Medio
58,Cuajimalpa,Bosques de las Lomas,1.550908649,5.758376509,44.36011892,18.8977341,24.41593758,4.172703474,0.428649601,0.061151295,6.675828044,39.64775501,1,1,0,1,1,1,500,4,4,4,20900,0,AltoAlto,Alto
59,Miguel Hidalgo,Polanco,0.611027409,5.569241584,35.5429182,10.4994843,18.45722734,1.058462729,0.068490591,0.026193904,4.49714015,20.12386776,1,0,0,0,1,1,261,2,3,2,12800,3,AltoBajo,Alto
60,Xochimilco,San Lorenzo La Cebada,2.300547234,4.569400517,46.6843621,21.301165,32.13841053,6.805506663,10.2097709,0.172422716,8.252036123,50.05516279,1,0,0,0,1,1,80,2,2,1,2300,2,MedioBajo,Medio
61,Tlahuac,San Nicolas tetelco ,1.536913337,4.49549339,46.56212056,20.04845108,26.77807249,5.035623674,0.957674682,0.096288565,9.610346519,52.74994473,0,0,0,0,0,0,50,1,2,1,586.75,2,MedioBajo,Medio
62,Cuajimalpa,Lomas de Vista Hermosa,1.550908649,5.758376509,44.36011892,18.8977341,24.41593758,4.172703474,0.428649601,0.061151295,6.675828044,39.64775501,1,1,0,1,1,1,138,4,2,2,8440,1,MedioAlto,Medio
63,Tlahuac,Santa Ana Poniente,1.536913337,4.49549339,46.56212056,20.04845108,26.77807249,5.035623674,0.957674682,0.096288565,9.610346519,52.74994473,1,0,0,0,0,0,54,1,2,1,680,2,MedioBajo,Medio
64,Coyoacan,Culhuacán,0.771833742,4.983508537,32.91477099,10.97406485,24.5511088,1.695343039,0.048384471,0.030823144,5.469806583,25.71402305,1,0,0,0,0,0,58,1,2,0,1320,2,MedioBajo,Medio
65,Iztapalapa,Pareja Zacatepec,1.857685118,5.622804973,47.82131159,21.69379967,32.20292505,4.541025503,0.705162313,0.167437985,9.555907492,50.08134928,1,0,0,0,0,0,42,1,2,1,800,2,MedioBajo,Medio
66,Gustavo A. Madero,Santa María Ticomán,1.399837678,4.985392208,40.21470855,18.20506477,25.42147819,2.923867139,0.295210496,0.048856571,9.532578887,43.85910774,1,0,0,0,0,0,50,1,2,2,505.498,2,MedioBajo,Medio
67,Iztapalapa,San Juan Xalpa,1.857685118,5.622804973,47.82131159,21.69379967,32.20292505,4.541025503,0.705162313,0.167437985,9.555907492,50.08134928,1,0,0,0,0,0,49,1,2,1,920,2,MedioBajo,Medio
68,Tlalpan,Villa Olímpica,1.394145868,4.602689024,40.26138524,16.53082059,27.88269774,3.714119071,3.909596219,0.07706095,6.224293847,36.76328842,1,1,0,0,1,1,110,3,3,1,4570,1,MedioAlto,Medio
69,Gustavo A. Madero,Progreso Nacional,1.399837678,4.985392208,40.21470855,18.20506477,25.42147819,2.923867139,0.295210496,0.048856571,9.532578887,43.85910774,1,0,0,0,0,1,66,1,2,1,285.192,2,MedioBajo,Medio
70,La Magdalena Contreras,Santa Teresa,1.857685118,5.622804973,47.82131159,21.69379967,32.20292505,4.541025503,0.705162313,0.167437985,9.555907492,50.08134928,1,1,0,0,1,1,86,2,2,1,3500,1,MedioAlto,Medio
71,Cuahtemoc,Juárez,0.903102939,6.775808669,42.08900539,12.23355674,26.82689384,1.703202069,0.10980282,0.047522468,6.214708064,30.68072239,1,0,0,0,1,1,67,2,2,1,4586.4,1,MedioAlto,Medio
72,Gustavo A. Madero,La Esmeralda,1.399837678,4.985392208,40.21470855,18.20506477,25.42147819,2.923867139,0.295210496,0.048856571,9.532578887,43.85910774,1,0,0,0,0,1,60,1,2,1,192.5,2,MedioBajo,Medio
73,Alvaro Obregon,Santa Fe,1.339167466,5.683629831,42.85247393,17.83120804,23.73768817,3.189615113,0.282936656,0.026174133,6.976225541,36.60403866,1,1,0,1,1,1,77,2,2,2,4995.825,1,MedioAlto,Medio
74,Gustavo A. Madero,Progreso Nacional,1.399837678,4.985392208,40.21470855,18.20506477,25.42147819,2.923867139,0.295210496,0.048856571,9.532578887,43.85910774,1,0,0,0,0,0,67,2,2,1,258.972,2,MedioBajo,Medio
75,Tlalpan,Narciso Mendoza,1.394145868,4.602689024,40.26138524,16.53082059,27.88269774,3.714119071,3.909596219,0.07706095,6.224293847,36.76328842,1,1,0,0,1,0,65,1,3,1,1500,2,MedioBajo,Medio
76,Azcapotzalco,Petrolera,0.962085555,5.968981133,38.9928995,15.50142067,20.60839823,1.83178199,0.458096977,0.03128955,7.574512784,35.21970538,1,0,0,0,0,0,85,1,2,1,1900,2,MedioBajo,Medio
77,Tlahuac,Villa centro Americana ,1.536913337,4.49549339,46.56212056,20.04845108,26.77807249,5.035623674,0.957674682,0.096288565,9.610346519,52.74994473,0,0,0,0,0,0,95,2,2,2,3539,1,MedioAlto,Medio
78,Miguel Hidalgo,Polanco,0.611027409,5.569241584,35.5429182,10.4994843,18.45722734,1.058462729,0.068490591,0.026193904,4.49714015,20.12386776,1,0,0,1,1,1,172,2,3,2,15999,3,AltoBajo,Alto
79,Miguel Hidalgo,Polanco,0.611027409,5.569241584,35.5429182,10.4994843,18.45722734,1.058462729,0.068490591,0.026193904,4.49714015,20.12386776,1,0,0,1,1,1,170,3,2,2,14000,3,AltoBajo,Alto
80,Cuajimalpa,Lomas del Chamizal,1.550908649,5.758376509,44.36011892,18.8977341,24.41593758,4.172703474,0.428649601,0.061151295,6.675828044,39.64775501,1,1,0,1,1,1,243,4,4,3,14950,3,AltoBajo,Alto
81,Xochimilco,Guadalupe I. Ramirez,2.300547234,4.569400517,46.6843621,21.301165,32.13841053,6.805506663,10.2097709,0.172422716,8.252036123,50.05516279,1,0,0,0,1,0,103,2,3,2,3280,1,MedioAlto,Medio
82,Alvaro Obregon,Santa Fe,1.339167466,5.683629831,42.85247393,17.83120804,23.73768817,3.189615113,0.282936656,0.026174133,6.976225541,36.60403866,1,1,0,1,1,1,56,1.5,1,1,4578.22,1,MedioAlto,Medio
83,Gustavo A. Madero,Lindavista Norte,1.399837678,4.985392208,40.21470855,18.20506477,25.42147819,2.923867139,0.295210496,0.048856571,9.532578887,43.85910774,1,0,0,0,0,1,80,2,3,1,802.963,2,MedioBajo,Medio
84,La Magdalena Contreras,Lomas Quebradas,1.857685118,5.622804973,47.82131159,21.69379967,32.20292505,4.541025503,0.705162313,0.167437985,9.555907492,50.08134928,1,1,0,0,1,1,118,2,3,2,5800,1,MedioAlto,Medio
85,Coyoacan,Pedregal de Santo Domingo,0.771833742,4.983508537,32.91477099,10.97406485,24.5511088,1.695343039,0.048384471,0.030823144,5.469806583,25.71402305,1,0,0,0,0,0,84,2,3,2,2690,1,MedioAlto,Medio
86,Venustiano Carranza,General Ignacio Zaragoza,1.024372742,6.37400969,43.62497337,16.35122504,28.24529055,2.280092264,0.055234173,0.03580462,8.154876925,39.08365943,1,0,0,0,0,1,58,1,2,0,830,2,MedioBajo,Medio
87,Alvaro Obregon,San Angel,1.339167466,5.683629831,42.85247393,17.83120804,23.73768817,3.189615113,0.282936656,0.026174133,6.976225541,36.60403866,1,1,0,1,1,1,109,2,2,2,7224.914,1,MedioAlto,Medio
88,Tlahuac,Miguel Hidalgo ,1.536913337,4.49549339,46.56212056,20.04845108,26.77807249,5.035623674,0.957674682,0.096288565,9.610346519,52.74994473,1,0,0,0,0,0,59,1,2,1,1.25,2,MedioBajo,Medio
89,Alvaro Obregon,Jardines del Pedregal,1.339167466,5.683629831,42.85247393,17.83120804,23.73768817,3.189615113,0.282936656,0.026174133,6.976225541,36.60403866,1,1,0,1,1,1,167,2,3,2,6400,1,MedioAlto,Medio
90,Alvaro Obregon,Santa Fe,1.339167466,5.683629831,42.85247393,17.83120804,23.73768817,3.189615113,0.282936656,0.026174133,6.976225541,36.60403866,1,1,0,1,1,1,134,2,3,2,6750,1,MedioAlto,Medio
91,La Magdalena Contreras,Santa Teresa,1.857685118,5.622804973,47.82131159,21.69379967,32.20292505,4.541025503,0.705162313,0.167437985,9.555907492,50.08134928,1,1,0,0,1,1,120,2,2,2,4500,1,MedioAlto,Medio
92,Miguel Hidalgo,Lomas de Chapultepec,0.611027409,5.569241584,35.5429182,10.4994843,18.45722734,1.058462729,0.068490591,0.026193904,4.49714015,20.12386776,1,1,0,1,1,1,420,4,2,2,14500,3,AltoBajo,Alto
93,Azcapotzalco,San Martin Xochinahuac,0.962085555,5.968981133,38.9928995,15.50142067,20.60839823,1.83178199,0.458096977,0.03128955,7.574512784,35.21970538,1,0,0,0,0,1,48,1,2,1,1580,2,MedioBajo,Medio
94,Miguel Hidalgo,Lomas de Chapultepec,0.611027409,5.569241584,35.5429182,10.4994843,18.45722734,1.058462729,0.068490591,0.026193904,4.49714015,20.12386776,1,0,0,0,1,0,315,3,3,2,14900,3,AltoBajo,Alto
95,Cuajimalpa,Cooperativa Palo Alto,1.550908649,5.758376509,44.36011892,18.8977341,24.41593758,4.172703474,0.428649601,0.061151295,6.675828044,39.64775501,1,0,0,0,1,1,126,2.5,2,2,9297.653,3,AltoBajo,Alto
96,Iztapalapa,Lomas Estrella,1.857685118,5.622804973,47.82131159,21.69379967,32.20292505,4.541025503,0.705162313,0.167437985,9.555907492,50.08134928,1,0,0,0,0,0,100,1,2,1,1860,2,MedioBajo,Medio
97,Iztapalapa,Solidaridad,1.857685118,5.622804973,47.82131159,21.69379967,32.20292505,4.541025503,0.705162313,0.167437985,9.555907492,50.08134928,1,0,0,0,0,0,90,1,2,1,523,2,MedioBajo,Medio
98,Gustavo A. Madero,Gustavo A. Madero,1.399837678,4.985392208,40.21470855,18.20506477,25.42147819,2.923867139,0.295210496,0.048856571,9.532578887,43.85910774,1,0,0,0,0,1,75,1,2,1,870,2,MedioBajo,Medio
99,Miguel Hidalgo,Polanco,0.611027409,5.569241584,35.5429182,10.4994843,18.45722734,1.058462729,0.068490591,0.026193904,4.49714015,20.12386776,1,0,0,0,1,1,238,2,3,1,11000,3,AltoBajo,Alto
100,Iztapalapa,San Juan,1.857685118,5.622804973,47.82131159,21.69379967,32.20292505,4.541025503,0.705162313,0.167437985,9.555907492,50.08134928,1,0,0,0,0,0,54,1,2,1,1680,2,MedioBajo,Medio
101,Benito Juárez,Narvarte,0.351537719,6.230001723,31.69590681,6.071808901,20.07138209,0.476854065,0.025016823,0.019991669,3.169090089,15.14962654,1,0,0,0,1,1,60,2,2,1,3350,1,MedioAlto,Medio
102,Iztapalapa,Citlalli,1.857685118,5.622804973,47.82131159,21.69379967,32.20292505,4.541025503,0.705162313,0.167437985,9.555907492,50.08134928,1,0,0,0,0,0,50,1,2,1,890,2,MedioBajo,Medio
103,Tlalpan,Santa úrsula Xitla,1.394145868,4.602689024,40.26138524,16.53082059,27.88269774,3.714119071,3.909596219,0.07706095,6.224293847,36.76328842,1,1,0,0,1,0,70,1,2,1,1600,2,MedioBajo,Medio
104,Iztacalco,Granjas México,1.131622927,4.465611975,41.42211791,16.97443716,26.9715019,2.917394265,0.073497157,0.051385442,7.678413919,39.09502462,1,0,0,0,1,1,71,1,3,1,1490,2,MedioBajo,Medio
105,Iztapalapa,Juan Escutia,1.857685118,5.622804973,47.82131159,21.69379967,32.20292505,4.541025503,0.705162313,0.167437985,9.555907492,50.08134928,1,0,0,0,0,0,107,2,3,1,1900,2,MedioBajo,Medio
106,Cuahtemoc,Hipódromo,0.903102939,6.775808669,42.08900539,12.23355674,26.82689384,1.703202069,0.10980282,0.047522468,6.214708064,30.68072239,1,0,0,0,1,1,90,2,2,2,6338.53,1,MedioAlto,Medio
107,Coyoacan,Culhuacán,0.771833742,4.983508537,32.91477099,10.97406485,24.5511088,1.695343039,0.048384471,0.030823144,5.469806583,25.71402305,1,0,0,0,0,0,59,1,2,0,1180,2,MedioBajo,Medio
109,Iztapalapa,Unidad Vicente Guerrero,1.857685118,5.622804973,47.82131159,21.69379967,32.20292505,4.541025503,0.705162313,0.167437985,9.555907492,50.08134928,1,0,0,0,0,0,73,1,3,1,1290,2,MedioBajo,Medio
110,Iztapalapa,Tepalcates,1.857685118,5.622804973,47.82131159,21.69379967,32.20292505,4.541025503,0.705162313,0.167437985,9.555907492,50.08134928,1,0,0,0,0,0,55,1,3,1,900,2,MedioBajo,Medio
111,Gustavo A. Madero,Progreso Nacional,1.399837678,4.985392208,40.21470855,18.20506477,25.42147819,2.923867139,0.295210496,0.048856571,9.532578887,43.85910774,1,0,0,0,0,1,71,2,2,1,268.972,2,MedioBajo,Medio
112,Cuahtemoc,Juárez,0.903102939,6.775808669,42.08900539,12.23355674,26.82689384,1.703202069,0.10980282,0.047522468,6.214708064,30.68072239,1,0,0,0,1,1,86,1,2,2,4800,1,MedioAlto,Medio
113,La Magdalena Contreras,Héroes de Padierna,1.857685118,5.622804973,47.82131159,21.69379967,32.20292505,4.541025503,0.705162313,0.167437985,9.555907492,50.08134928,1,1,0,1,1,1,447,4,4,3,15500,3,AltoBajo,Alto
114,Benito Juárez,Santa Maria Nonoalco,0.351537719,6.230001723,31.69590681,6.071808901,20.07138209,0.476854065,0.025016823,0.019991669,3.169090089,15.14962654,1,0,0,1,1,1,84,2,2,2,3990,1,MedioAlto,Medio
115,Gustavo A. Madero,Tres Estrellas,1.399837678,4.985392208,40.21470855,18.20506477,25.42147819,2.923867139,0.295210496,0.048856571,9.532578887,43.85910774,1,0,0,0,0,0,60,1,2,1,798.5,2,MedioBajo,Medio
116,Iztapalapa,Granjas San Antonio,1.857685118,5.622804973,47.82131159,21.69379967,32.20292505,4.541025503,0.705162313,0.167437985,9.555907492,50.08134928,0,0,0,0,0,0,45,1,2,1,1300,2,MedioBajo,Medio
117,Alvaro Obregon,El cuernito,1.339167466,5.683629831,42.85247393,17.83120804,23.73768817,3.189615113,0.282936656,0.026174133,6.976225541,36.60403866,1,0,0,0,1,1,105,2,2,2,4250,1,MedioAlto,Medio
118,Tlahuac,La turba ,1.536913337,4.49549339,46.56212056,20.04845108,26.77807249,5.035623674,0.957674682,0.096288565,9.610346519,52.74994473,0,0,0,0,0,0,48,1,2,1,1090.9,2,MedioBajo,Medio
